,MMSI,SHIPNAME,VESSEL TYPE,SPEED (KNOTSx10),COURSE,HEADING,TIMESTAMP UTC,LENGTH,Year,ship_Loc,LAT,LON,distance(in km),axial_Loc,instance_id,ud_group
15,249666000,CELEBRITY ECLIPSE,Passenger Ship,156,228,230,2019-04-19 04:30:01,317.14,2019,"(45.79078, -129.7299)",45.79078,-129.7299,3.45,"(45.8168, -129.754)",AB_20190419042158_20190419043158,Passenger
16,249666000,CELEBRITY ECLIPSE,Passenger Ship,177,228,230,2019-09-24 00:33:24,317.14,2019,"(45.81666, -129.69)",45.81666,-129.69,4.97,"(45.8168, -129.754)",AB_20190924003324_20190924004324,Passenger
17,249666000,CELEBRITY ECLIPSE,Passenger Ship,175,226,230,2019-09-24 00:37:00,317.14,2019,"(45.80477, -129.7083)",45.80477,-129.7083,3.8,"(45.8168, -129.754)",AB_20190924003324_20190924004324,Passenger
18,249666000,CELEBRITY ECLIPSE,Passenger Ship,176,225,230,2019-09-24 00:42:13,317.14,2019,"(45.7873, -129.7352)",45.7873,-129.7352,3.59,"(45.8168, -129.754)",AB_20190924003324_20190924004324,Passenger
19,255805893,EDGAR OLDENDORFF,General Cargo,37,135,163,2017-06-12 19:04:22,179.0,2017,"(45.80367, -129.8071)",45.80367,-129.8071,4.38,"(45.8168, -129.754)",AB_20170612190422_20170612191422,Cargo
20,255805893,EDGAR OLDENDORFF,General Cargo,24,158,195,2017-06-12 19:09:53,179.0,2017,"(45.79995, -129.804)",45.79995,-129.804,4.31,"(45.8168, -129.754)",AB_20170612190422_20170612191422,Cargo
21,212482000,MACHERAS,Bulk Carrier,79,220,220,2020-09-24 19:41:45,229.0,2020,"(45.8048, -129.695)",45.8048,-129.695,4.78,"(45.8168, -129.754)",AB_20170612191422_20170612192422,Cargo
22,212482000,MACHERAS,Bulk Carrier,81,203,221,2020-09-24 19:44:41,229.0,2020,"(45.79967, -129.7003)",45.79967,-129.7003,4.59,"(45.8168, -129.754)",AB_20170612192422_20170612193422,Cargo
23,255805893,EDGAR OLDENDORFF,General Cargo,16,150,201,2017-06-12 19:35:12,179.0,2017,"(45.78913, -129.7974)",45.78913,-129.7974,4.57,"(45.8168, -129.754)",AB_20170612193422_20170612194422,Cargo
24,303031000,POLAR ADVENTURE,Crude Oil Tanker,146,335,329,2016-03-10 04:04:04,272.69,2016,"(45.79343, -129.702)",45.79343,-129.702,4.8,"(45.8168, -129.754)",AB_20160310040404_20160310041404,Tanker
25,303031000,POLAR ADVENTURE,Crude Oil Tanker,142,336,330,2016-03-10 04:06:45,272.69,2016,"(45.80345, -129.7079)",45.80345,-129.7079,3.88,"(45.8168, -129.754)",AB_20160310040404_20160310041404,Tanker
26,303031000,POLAR ADVENTURE,Crude Oil Tanker,143,333,330,2016-03-10 04:12:28,272.69,2016,"(45.82529, -129.7199)",45.82529,-129.7199,2.81,"(45.8168, -129.754)",AB_20160310040404_20160310041404,Tanker
27,303681000,MOUNT DRUM,Towing Vessel,90,51,55,2018-10-08 09:17:54,36.58,2018,"(45.8105, -129.8175)",45.8105,-129.8175,4.98,"(45.8168, -129.754)",AB_20181008091754_20181008092754,Fishing type
28,303681000,MOUNT DRUM,Towing Vessel,89,52,50,2018-10-08 09:18:44,36.58,2018,"(45.8118, -129.8151)",45.8118,-129.8151,4.78,"(45.8168, -129.754)",AB_20181008091754_20181008092754,Fishing type
29,303681000,MOUNT DRUM,Towing Vessel,93,56,52,2018-10-08 09:23:51,36.58,2018,"(45.81953, -129.8006)",45.81953,-129.8006,3.63,"(45.8168, -129.754)",AB_20181008091754_20181008092754,Fishing type
30,249666000,CELEBRITY ECLIPSE,Passenger Ship,157,227,230,2019-04-19 04:29:49,317.14,2019,"(45.79137, -129.729)",45.79137,-129.729,3.43,"(45.8168, -129.754)",AB_20181008092754_20181008093754,Passenger
31,303681000,MOUNT DRUM,Towing Vessel,92,53,52,2018-10-08 09:42:10,36.58,2018,"(45.84757, -129.7473)",45.84757,-129.7473,3.46,"(45.8168, -129.754)",AB_20181008093754_20181008094754,Fishing type
32,311000243,AFRICAN RAVEN,General Cargo,102,359,358,2016-06-05 20:57:48,183.0,2016,"(45.7928, -129.8017)",45.7928,-129.8017,4.57,"(45.8168, -129.754)",AB_20160605205748_20160605210748,Cargo
33,311000243,AFRICAN RAVEN,General Cargo,101,1,359,2016-06-05 21:00:48,183.0,2016,"(45.80119, -129.8016)",45.80119,-129.8016,4.09,"(45.8168, -129.754)",AB_20160605205748_20160605210748,Cargo
34,311000243,AFRICAN RAVEN,General Cargo,101,0,359,2016-06-05 21:03:48,183.0,2016,"(45.80958, -129.8016)",45.80958,-129.8016,3.79,"(45.8168, -129.754)",AB_20160605205748_20160605210748,Cargo
35,311000243,AFRICAN RAVEN,General Cargo,100,359,359,2016-06-05 21:06:48,183.0,2016,"(45.81797, -129.8016)",45.81797,-129.8016,3.7,"(45.8168, -129.754)",AB_20160605205748_20160605210748,Cargo
36,311000299,BIOGRAD,Bulk Carrier,114,353,355,2018-05-23 06:35:17,189.99,2018,"(45.78171, -129.7147)",45.78171,-129.7147,4.95,"(45.8168, -129.754)",AB_20180523063517_20180523064517,Cargo
37,311000299,BIOGRAD,Bulk Carrier,114,355,355,2018-05-23 06:35:36,189.99,2018,"(45.78267, -129.7148)",45.78267,-129.7148,4.87,"(45.8168, -129.754)",AB_20180523063517_20180523064517,Cargo
38,311000299,BIOGRAD,Bulk Carrier,114,354,354,2018-05-23 06:35:47,189.99,2018,"(45.78331, -129.7149)",45.78331,-129.7149,4.81,"(45.8168, -129.754)",AB_20180523063517_20180523064517,Cargo
39,311000299,BIOGRAD,Bulk Carrier,114,357,355,2018-05-23 06:36:27,189.99,2018,"(45.78541, -129.7152)",45.78541,-129.7152,4.61,"(45.8168, -129.754)",AB_20180523063517_20180523064517,Cargo
40,311000299,BIOGRAD,Bulk Carrier,113,352,355,2018-05-23 06:37:27,189.99,2018,"(45.78859, -129.7155)",45.78859,-129.7155,4.33,"(45.8168, -129.754)",AB_20180523063517_20180523064517,Cargo
41,311772000,PINE GALAXY,Oil/Chemical Tanker,96,235,230,2015-03-19 05:15:01,147.83,2015,"(45.81138, -129.7176)",45.81138,-129.7176,2.89,"(45.8168, -129.754)",AB_20150319051501_20150319052501,Tanker
42,311772000,PINE GALAXY,Oil/Chemical Tanker,94,233,230,2015-03-19 05:18:41,147.83,2015,"(45.80577, -129.7289)",45.80577,-129.7289,2.3,"(45.8168, -129.754)",AB_20150319051501_20150319052501,Tanker
43,338417000,SIKULIAQ,Special Vessel,87,220,230,2016-07-12 12:16:55,79.71,2016,"(45.82824, -129.7321)",45.82824,-129.7321,2.12,"(45.8168, -129.754)",AB_20160712121655_20160712122655,Research
44,338417000,SIKULIAQ,Special Vessel,63,235,236,2016-07-12 12:22:49,79.71,2016,"(45.82019, -129.7451)",45.82019,-129.7451,0.79,"(45.8168, -129.754)",AB_20160712121655_20160712122655,Research
45,338417000,SIKULIAQ,Special Vessel,8,159,284,2016-07-12 12:36:39,79.71,2016,"(45.81566, -129.7562)",45.81566,-129.7562,0.21,"(45.8168, -129.754)",AB_20160712122655_20160712123655,Research
46,338417000,SIKULIAQ,Special Vessel,7,76,284,2016-07-12 12:41:42,79.71,2016,"(45.81566, -129.7562)",45.81566,-129.7562,0.21,"(45.8168, -129.754)",AB_20160712123655_20160712124655,Research
47,338417000,SIKULIAQ,Special Vessel,2,41,284,2016-07-12 12:47:36,79.71,2016,"(45.81564, -129.7561)",45.81564,-129.7561,0.21,"(45.8168, -129.754)",AB_20160712124655_20160712125655,Research
48,338417000,SIKULIAQ,Special Vessel,5,149,285,2016-07-12 12:56:25,79.71,2016,"(45.81599, -129.7554)",45.81599,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712124655_20160712125655,Research
49,338417000,SIKULIAQ,Special Vessel,12,87,284,2016-07-12 13:01:35,79.71,2016,"(45.81598, -129.7554)",45.81598,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712125655_20160712130655,Research
50,303031000,POLAR ADVENTURE,Crude Oil Tanker,146,335,329,2016-03-10 04:04:04,272.69,2016,"(45.79343, -129.702)",45.79343,-129.702,4.8,"(45.8168, -129.754)",AB_20160712130655_20160712131655,Tanker
51,338417000,SIKULIAQ,Special Vessel,2,283,284,2016-07-12 13:22:55,79.71,2016,"(45.816, -129.7554)",45.816,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712131655_20160712132655,Research
52,303031000,POLAR ADVENTURE,Crude Oil Tanker,143,333,330,2016-03-10 04:12:28,272.69,2016,"(45.82529, -129.7199)",45.82529,-129.7199,2.81,"(45.8168, -129.754)",AB_20160712132655_20160712133655,Tanker
53,338417000,SIKULIAQ,Special Vessel,7,274,285,2016-07-12 13:39:15,79.71,2016,"(45.81601, -129.7554)",45.81601,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712133655_20160712134655,Research
54,338417000,SIKULIAQ,Special Vessel,1,105,284,2016-07-12 13:44:29,79.71,2016,"(45.81599, -129.7554)",45.81599,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712133655_20160712134655,Research
55,303681000,MOUNT DRUM,Towing Vessel,89,52,50,2018-10-08 09:18:44,36.58,2018,"(45.8118, -129.8151)",45.8118,-129.8151,4.78,"(45.8168, -129.754)",AB_20160712134655_20160712135655,Fishing type
56,338417000,SIKULIAQ,Special Vessel,5,11,284,2016-07-12 14:00:54,79.71,2016,"(45.81605, -129.7553)",45.81605,-129.7553,0.13,"(45.8168, -129.754)",AB_20160712135655_20160712140655,Research
57,338417000,SIKULIAQ,Special Vessel,3,73,284,2016-07-12 14:07:09,79.71,2016,"(45.81614, -129.7551)",45.81614,-129.7551,0.11,"(45.8168, -129.754)",AB_20160712140655_20160712141655,Research
58,338417000,SIKULIAQ,Special Vessel,2,149,284,2016-07-12 14:20:55,79.71,2016,"(45.81635, -129.7546)",45.81635,-129.7546,0.07,"(45.8168, -129.754)",AB_20160712141655_20160712142655,Research
59,311000243,AFRICAN RAVEN,General Cargo,102,359,358,2016-06-05 20:57:48,183.0,2016,"(45.7928, -129.8017)",45.7928,-129.8017,4.57,"(45.8168, -129.754)",AB_20160712142655_20160712143655,Cargo
60,338417000,SIKULIAQ,Special Vessel,3,302,284,2016-07-12 14:40:36,79.71,2016,"(45.81651, -129.7543)",45.81651,-129.7543,0.04,"(45.8168, -129.754)",AB_20160712143655_20160712144655,Research
61,311000243,AFRICAN RAVEN,General Cargo,101,0,359,2016-06-05 21:03:48,183.0,2016,"(45.80958, -129.8016)",45.80958,-129.8016,3.79,"(45.8168, -129.754)",AB_20160712144655_20160712145655,Cargo
62,311000243,AFRICAN RAVEN,General Cargo,100,359,359,2016-06-05 21:06:48,183.0,2016,"(45.81797, -129.8016)",45.81797,-129.8016,3.7,"(45.8168, -129.754)",AB_20160712145655_20160712150655,Cargo
63,311000299,BIOGRAD,Bulk Carrier,114,353,355,2018-05-23 06:35:17,189.99,2018,"(45.78171, -129.7147)",45.78171,-129.7147,4.95,"(45.8168, -129.754)",AB_20160712150655_20160712151655,Cargo
64,338417000,SIKULIAQ,Special Vessel,5,38,284,2016-07-12 15:26:34,79.71,2016,"(45.81652, -129.7543)",45.81652,-129.7543,0.04,"(45.8168, -129.754)",AB_20160712151655_20160712152655,Research
65,311000299,BIOGRAD,Bulk Carrier,114,354,354,2018-05-23 06:35:47,189.99,2018,"(45.78331, -129.7149)",45.78331,-129.7149,4.81,"(45.8168, -129.754)",AB_20160712152655_20160712153655,Cargo
66,311000299,BIOGRAD,Bulk Carrier,114,357,355,2018-05-23 06:36:27,189.99,2018,"(45.78541, -129.7152)",45.78541,-129.7152,4.61,"(45.8168, -129.754)",AB_20160712153655_20160712154655,Cargo
67,338417000,SIKULIAQ,Special Vessel,3,183,284,2016-07-12 15:47:55,79.71,2016,"(45.81675, -129.7542)",45.81675,-129.7542,0.02,"(45.8168, -129.754)",AB_20160712154655_20160712155655,Research
68,311772000,PINE GALAXY,Oil/Chemical Tanker,96,235,230,2015-03-19 05:15:01,147.83,2015,"(45.81138, -129.7176)",45.81138,-129.7176,2.89,"(45.8168, -129.754)",AB_20160712155655_20160712160655,Tanker
69,338417000,SIKULIAQ,Special Vessel,2,295,284,2016-07-12 16:13:23,79.71,2016,"(45.81613, -129.7544)",45.81613,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712160655_20160712161655,Research
70,338417000,SIKULIAQ,Special Vessel,87,220,230,2016-07-12 12:16:55,79.71,2016,"(45.82824, -129.7321)",45.82824,-129.7321,2.12,"(45.8168, -129.754)",AB_20160712161655_20160712162655,Research
71,338417000,SIKULIAQ,Special Vessel,63,235,236,2016-07-12 12:22:49,79.71,2016,"(45.82019, -129.7451)",45.82019,-129.7451,0.79,"(45.8168, -129.754)",AB_20160712162655_20160712163655,Research
72,338417000,SIKULIAQ,Special Vessel,8,159,284,2016-07-12 12:36:39,79.71,2016,"(45.81566, -129.7562)",45.81566,-129.7562,0.21,"(45.8168, -129.754)",AB_20160712163655_20160712164655,Research
73,338417000,SIKULIAQ,Special Vessel,7,76,284,2016-07-12 12:41:42,79.71,2016,"(45.81566, -129.7562)",45.81566,-129.7562,0.21,"(45.8168, -129.754)",AB_20160712164655_20160712165655,Research
74,338417000,SIKULIAQ,Special Vessel,4,22,298,2016-07-12 17:02:26,79.71,2016,"(45.81612, -129.7544)",45.81612,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712165655_20160712170655,Research
75,338417000,SIKULIAQ,Special Vessel,5,149,285,2016-07-12 12:56:25,79.71,2016,"(45.81599, -129.7554)",45.81599,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712170655_20160712171655,Research
76,338417000,SIKULIAQ,Special Vessel,12,87,284,2016-07-12 13:01:35,79.71,2016,"(45.81598, -129.7554)",45.81598,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712171655_20160712172655,Research
77,303031000,POLAR ADVENTURE,Crude Oil Tanker,146,335,329,2016-03-10 04:04:04,272.69,2016,"(45.79343, -129.702)",45.79343,-129.702,4.8,"(45.8168, -129.754)",AB_20160712172655_20160712173655,Tanker
78,338417000,SIKULIAQ,Special Vessel,2,283,284,2016-07-12 13:22:55,79.71,2016,"(45.816, -129.7554)",45.816,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712173655_20160712174655,Research
79,338417000,SIKULIAQ,Special Vessel,3,263,286,2016-07-12 17:49:24,79.71,2016,"(45.81613, -129.7544)",45.81613,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712174655_20160712175655,Research
80,338417000,SIKULIAQ,Special Vessel,2,332,286,2016-07-12 17:51:24,79.71,2016,"(45.81613, -129.7544)",45.81613,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712174655_20160712175655,Research
81,338417000,SIKULIAQ,Special Vessel,7,274,285,2016-07-12 13:39:15,79.71,2016,"(45.81601, -129.7554)",45.81601,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712175655_20160712180655,Research
82,338417000,SIKULIAQ,Special Vessel,1,105,284,2016-07-12 13:44:29,79.71,2016,"(45.81599, -129.7554)",45.81599,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712180655_20160712181655,Research
83,303681000,MOUNT DRUM,Towing Vessel,89,52,50,2018-10-08 09:18:44,36.58,2018,"(45.8118, -129.8151)",45.8118,-129.8151,4.78,"(45.8168, -129.754)",AB_20160712181655_20160712182655,Fishing type
84,338417000,SIKULIAQ,Special Vessel,9,265,288,2016-07-12 18:32:31,79.71,2016,"(45.81607, -129.7544)",45.81607,-129.7544,0.09,"(45.8168, -129.754)",AB_20160712182655_20160712183655,Research
85,338417000,SIKULIAQ,Special Vessel,4,24,290,2016-07-12 18:36:11,79.71,2016,"(45.81645, -129.7543)",45.81645,-129.7543,0.05,"(45.8168, -129.754)",AB_20160712182655_20160712183655,Research
86,338417000,SIKULIAQ,Special Vessel,4,55,290,2016-07-12 18:42:22,79.71,2016,"(45.81672, -129.7543)",45.81672,-129.7543,0.02,"(45.8168, -129.754)",AB_20160712183655_20160712184655,Research
87,338417000,SIKULIAQ,Special Vessel,2,149,284,2016-07-12 14:20:55,79.71,2016,"(45.81635, -129.7546)",45.81635,-129.7546,0.07,"(45.8168, -129.754)",AB_20160712184655_20160712185655,Research
88,311000243,AFRICAN RAVEN,General Cargo,102,359,358,2016-06-05 20:57:48,183.0,2016,"(45.7928, -129.8017)",45.7928,-129.8017,4.57,"(45.8168, -129.754)",AB_20160712185655_20160712190655,Cargo
89,338417000,SIKULIAQ,Special Vessel,3,302,284,2016-07-12 14:40:36,79.71,2016,"(45.81651, -129.7543)",45.81651,-129.7543,0.04,"(45.8168, -129.754)",AB_20160712190655_20160712191655,Research
90,311000243,AFRICAN RAVEN,General Cargo,101,0,359,2016-06-05 21:03:48,183.0,2016,"(45.80958, -129.8016)",45.80958,-129.8016,3.79,"(45.8168, -129.754)",AB_20160712191655_20160712192655,Cargo
91,311000243,AFRICAN RAVEN,General Cargo,100,359,359,2016-06-05 21:06:48,183.0,2016,"(45.81797, -129.8016)",45.81797,-129.8016,3.7,"(45.8168, -129.754)",AB_20160712192655_20160712193655,Cargo
92,338417000,SIKULIAQ,Special Vessel,3,145,290,2016-07-12 19:38:26,79.71,2016,"(45.81612, -129.7543)",45.81612,-129.7543,0.08,"(45.8168, -129.754)",AB_20160712193655_20160712194655,Research
93,338417000,SIKULIAQ,Special Vessel,5,38,284,2016-07-12 15:26:34,79.71,2016,"(45.81652, -129.7543)",45.81652,-129.7543,0.04,"(45.8168, -129.754)",AB_20160712194655_20160712195655,Research
94,311000299,BIOGRAD,Bulk Carrier,114,354,354,2018-05-23 06:35:47,189.99,2018,"(45.78331, -129.7149)",45.78331,-129.7149,4.81,"(45.8168, -129.754)",AB_20160712195655_20160712200655,Cargo
95,338417000,SIKULIAQ,Special Vessel,2,118,291,2016-07-12 20:10:59,79.71,2016,"(45.81619, -129.7543)",45.81619,-129.7543,0.07,"(45.8168, -129.754)",AB_20160712200655_20160712201655,Research
96,338417000,SIKULIAQ,Special Vessel,3,183,284,2016-07-12 15:47:55,79.71,2016,"(45.81675, -129.7542)",45.81675,-129.7542,0.02,"(45.8168, -129.754)",AB_20160712201655_20160712202655,Research
97,311772000,PINE GALAXY,Oil/Chemical Tanker,96,235,230,2015-03-19 05:15:01,147.83,2015,"(45.81138, -129.7176)",45.81138,-129.7176,2.89,"(45.8168, -129.754)",AB_20160712202655_20160712203655,Tanker
98,338417000,SIKULIAQ,Special Vessel,6,328,290,2016-07-12 20:43:09,79.71,2016,"(45.8162, -129.7543)",45.8162,-129.7543,0.07,"(45.8168, -129.754)",AB_20160712203655_20160712204655,Research
99,338417000,SIKULIAQ,Special Vessel,5,90,290,2016-07-12 20:49:45,79.71,2016,"(45.81621, -129.7543)",45.81621,-129.7543,0.07,"(45.8168, -129.754)",AB_20160712204655_20160712205655,Research
100,338417000,SIKULIAQ,Special Vessel,63,235,236,2016-07-12 12:22:49,79.71,2016,"(45.82019, -129.7451)",45.82019,-129.7451,0.79,"(45.8168, -129.754)",AB_20160712205655_20160712210655,Research
101,338417000,SIKULIAQ,Special Vessel,1,225,291,2016-07-12 21:12:45,79.71,2016,"(45.81605, -129.7543)",45.81605,-129.7543,0.09,"(45.8168, -129.754)",AB_20160712210655_20160712211655,Research
102,338417000,SIKULIAQ,Special Vessel,7,161,290,2016-07-12 21:22:36,79.71,2016,"(45.81607, -129.7543)",45.81607,-129.7543,0.08,"(45.8168, -129.754)",AB_20160712211655_20160712212655,Research
103,338417000,SIKULIAQ,Special Vessel,4,22,298,2016-07-12 17:02:26,79.71,2016,"(45.81612, -129.7544)",45.81612,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712212655_20160712213655,Research
104,338417000,SIKULIAQ,Special Vessel,6,266,290,2016-07-12 21:43:42,79.71,2016,"(45.81638, -129.7544)",45.81638,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712213655_20160712214655,Research
105,338417000,SIKULIAQ,Special Vessel,9,98,290,2016-07-12 21:49:09,79.71,2016,"(45.81638, -129.7544)",45.81638,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712214655_20160712215655,Research
106,338417000,SIKULIAQ,Special Vessel,1,203,291,2016-07-12 21:58:26,79.71,2016,"(45.81638, -129.7544)",45.81638,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712215655_20160712220655,Research
107,338417000,SIKULIAQ,Special Vessel,3,129,289,2016-07-12 22:08:21,79.71,2016,"(45.81637, -129.7544)",45.81637,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712220655_20160712221655,Research
108,338417000,SIKULIAQ,Special Vessel,3,263,286,2016-07-12 17:49:24,79.71,2016,"(45.81613, -129.7544)",45.81613,-129.7544,0.08,"(45.8168, -129.754)",AB_20160712221655_20160712222655,Research
109,338417000,SIKULIAQ,Special Vessel,7,52,289,2016-07-12 22:29:09,79.71,2016,"(45.81637, -129.7544)",45.81637,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712222655_20160712223655,Research
110,338417000,SIKULIAQ,Special Vessel,11,273,290,2016-07-12 22:34:29,79.71,2016,"(45.81637, -129.7544)",45.81637,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712222655_20160712223655,Research
111,338417000,SIKULIAQ,Special Vessel,7,302,289,2016-07-12 22:40:16,79.71,2016,"(45.81637, -129.7544)",45.81637,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712223655_20160712224655,Research
112,338417000,SIKULIAQ,Special Vessel,1,105,284,2016-07-12 13:44:29,79.71,2016,"(45.81599, -129.7554)",45.81599,-129.7554,0.14,"(45.8168, -129.754)",AB_20160712224655_20160712225655,Research
113,338417000,SIKULIAQ,Special Vessel,1,151,295,2016-07-12 22:58:19,79.71,2016,"(45.81637, -129.7544)",45.81637,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712225655_20160712230655,Research
114,338417000,SIKULIAQ,Special Vessel,9,265,288,2016-07-12 18:32:31,79.71,2016,"(45.81607, -129.7544)",45.81607,-129.7544,0.09,"(45.8168, -129.754)",AB_20160712230655_20160712231655,Research
115,338417000,SIKULIAQ,Special Vessel,6,101,295,2016-07-12 23:23:52,79.71,2016,"(45.81638, -129.7544)",45.81638,-129.7544,0.06,"(45.8168, -129.754)",AB_20160712231655_20160712232655,Research
116,338417000,SIKULIAQ,Special Vessel,22,29,43,2016-07-12 23:28:56,79.71,2016,"(45.81695, -129.7546)",45.81695,-129.7546,0.05,"(45.8168, -129.754)",AB_20160712232655_20160712233655,Research
117,338417000,SIKULIAQ,Special Vessel,8,18,308,2016-07-12 23:39:05,79.71,2016,"(45.82059, -129.7362)",45.82059,-129.7362,1.45,"(45.8168, -129.754)",AB_20160712233655_20160712234655,Research
118,338417000,SIKULIAQ,Special Vessel,3,201,305,2016-07-12 23:45:38,79.71,2016,"(45.82069, -129.7362)",45.82069,-129.7362,1.45,"(45.8168, -129.754)",AB_20160712233655_20160712234655,Research
119,338417000,SIKULIAQ,Special Vessel,7,308,307,2016-07-12 23:51:34,79.71,2016,"(45.82026, -129.7365)",45.82026,-129.7365,1.41,"(45.8168, -129.754)",AB_20160712234655_20160712235655,Research
120,338417000,SIKULIAQ,Special Vessel,3,201,308,2016-07-13 00:02:29,79.71,2016,"(45.8201, -129.7366)",45.8201,-129.7366,1.4,"(45.8168, -129.754)",AB_20160712235655_20160713000655,Research
121,338417000,SIKULIAQ,Special Vessel,5,203,308,2016-07-13 00:09:02,79.71,2016,"(45.8201, -129.7366)",45.8201,-129.7366,1.4,"(45.8168, -129.754)",AB_20160713000655_20160713001655,Research
122,338417000,SIKULIAQ,Special Vessel,10,273,307,2016-07-13 00:12:04,79.71,2016,"(45.82009, -129.7366)",45.82009,-129.7366,1.4,"(45.8168, -129.754)",AB_20160713000655_20160713001655,Research
123,338417000,SIKULIAQ,Special Vessel,3,112,307,2016-07-13 00:16:49,79.71,2016,"(45.8201, -129.7366)",45.8201,-129.7366,1.4,"(45.8168, -129.754)",AB_20160713000655_20160713001655,Research
