,MMSI,SHIPNAME,VESSEL TYPE,SPEED (KNOTSx10),COURSE,HEADING,TIMESTAMP UTC,LENGTH,Year,ship_Loc,LAT,LON,distance(in km),central_caldera_Loc,instance_id,ud_group
10,247218600,VALLEBIANCA,Oil/Chemical Tanker,9,77,131,2016-02-12 14:09:00,183.0,2016,"(45.92757, -130.0487)",45.92757,-130.0487,4.33,"(45.9549, -130.0089)",CC_20160212140900_20160212141900,Tanker
11,241124000,DORIC VALOUR,Bulk Carrier,99,236,232,2015-10-29 16:28:17,189.99,2015,"(45.99829, -130.0005)",45.99829,-130.0005,4.87,"(45.9549, -130.0089)",CC_20160212141900_20160212142900,Cargo
12,246767000,MARSGRACHT,General Cargo,115,47,48,2018-02-22 07:09:32,142.1,2018,"(45.9573, -130.0706)",45.9573,-130.0706,4.79,"(45.9549, -130.0089)",CC_20160212142900_20160212143900,Cargo
13,246767000,MARSGRACHT,General Cargo,113,48,45,2018-02-22 07:09:54,142.1,2018,"(45.95832, -130.0688)",45.95832,-130.0688,4.66,"(45.9549, -130.0089)",CC_20160212143900_20160212144900,Cargo
14,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,63,128,2016-02-12 14:51:01,183.0,2016,"(45.93087, -130.0316)",45.93087,-130.0316,3.2,"(45.9549, -130.0089)",CC_20160212144900_20160212145900,Tanker
15,247218600,VALLEBIANCA,Oil/Chemical Tanker,9,77,131,2016-02-12 14:09:00,183.0,2016,"(45.92757, -130.0487)",45.92757,-130.0487,4.33,"(45.9549, -130.0089)",CC_20160212145900_20160212150900,Tanker
16,241124000,DORIC VALOUR,Bulk Carrier,99,236,232,2015-10-29 16:28:17,189.99,2015,"(45.99829, -130.0005)",45.99829,-130.0005,4.87,"(45.9549, -130.0089)",CC_20160212150900_20160212151900,Cargo
17,247218600,VALLEBIANCA,Oil/Chemical Tanker,10,52,135,2016-02-12 15:27:00,183.0,2016,"(45.93553, -130.0178)",45.93553,-130.0178,2.26,"(45.9549, -130.0089)",CC_20160212151900_20160212152900,Tanker
18,246767000,MARSGRACHT,General Cargo,113,48,45,2018-02-22 07:09:54,142.1,2018,"(45.95832, -130.0688)",45.95832,-130.0688,4.66,"(45.9549, -130.0089)",CC_20160212152900_20160212153900,Cargo
19,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,55,138,2016-02-12 15:45:00,183.0,2016,"(45.93855, -130.0108)",45.93855,-130.0108,1.82,"(45.9549, -130.0089)",CC_20160212153900_20160212154900,Tanker
20,247218600,VALLEBIANCA,Oil/Chemical Tanker,9,77,131,2016-02-12 14:09:00,183.0,2016,"(45.92757, -130.0487)",45.92757,-130.0487,4.33,"(45.9549, -130.0089)",CC_20160212154900_20160212155900,Tanker
21,241124000,DORIC VALOUR,Bulk Carrier,99,236,232,2015-10-29 16:28:17,189.99,2015,"(45.99829, -130.0005)",45.99829,-130.0005,4.87,"(45.9549, -130.0089)",CC_20160212155900_20160212160900,Cargo
22,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,1.4,"(45.9549, -130.0089)",CC_20160212160900_20160212161900,Tanker
23,246767000,MARSGRACHT,General Cargo,113,48,45,2018-02-22 07:09:54,142.1,2018,"(45.95832, -130.0688)",45.95832,-130.0688,4.66,"(45.9549, -130.0089)",CC_20160212161900_20160212162900,Cargo
24,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,55,138,2016-02-12 15:45:00,183.0,2016,"(45.93855, -130.0108)",45.93855,-130.0108,1.82,"(45.9549, -130.0089)",CC_20160212162900_20160212163900,Tanker
25,247218600,VALLEBIANCA,Oil/Chemical Tanker,9,77,131,2016-02-12 14:09:00,183.0,2016,"(45.92757, -130.0487)",45.92757,-130.0487,4.33,"(45.9549, -130.0089)",CC_20160212163900_20160212164900,Tanker
26,247218600,VALLEBIANCA,Oil/Chemical Tanker,11,41,135,2016-02-12 16:51:03,183.0,2016,"(45.95253, -129.9892)",45.95253,-129.9892,1.55,"(45.9549, -130.0089)",CC_20160212164900_20160212165900,Tanker
27,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,1.4,"(45.9549, -130.0089)",CC_20160212165900_20160212170900,Tanker
28,247218600,VALLEBIANCA,Oil/Chemical Tanker,19,45,135,2016-02-12 17:09:03,183.0,2016,"(45.95778, -129.9818)",45.95778,-129.9818,2.13,"(45.9549, -130.0089)",CC_20160212170900_20160212171900,Tanker
29,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,55,138,2016-02-12 15:45:00,183.0,2016,"(45.93855, -130.0108)",45.93855,-130.0108,1.82,"(45.9549, -130.0089)",CC_20160212171900_20160212172900,Tanker
30,247218600,VALLEBIANCA,Oil/Chemical Tanker,9,77,131,2016-02-12 14:09:00,183.0,2016,"(45.92757, -130.0487)",45.92757,-130.0487,4.33,"(45.9549, -130.0089)",CC_20160212172900_20160212173900,Tanker
31,248914000,AGRIA,Bulk Carrier,95,234,237,2017-03-16 14:09:12,189.99,2017,"(45.95427, -129.9669)",45.95427,-129.9669,3.26,"(45.9549, -130.0089)",CC_20170316140912_20170316141912,Cargo
32,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,1.4,"(45.9549, -130.0089)",CC_20170316141912_20170316142912,Tanker
33,257628000,ADS ARENDAL,Bulk Carrier,88,269,270,2016-11-26 04:25:05,225.0,2016,"(45.93339, -129.9582)",45.93339,-129.9582,4.6,"(45.9549, -130.0089)",CC_20161126042505_20161126043505,Cargo
34,257628000,ADS ARENDAL,Bulk Carrier,88,266,268,2016-11-26 04:27:32,225.0,2016,"(45.93316, -129.967)",45.93316,-129.967,4.05,"(45.9549, -130.0089)",CC_20161126042505_20161126043505,Cargo
35,257628000,ADS ARENDAL,Bulk Carrier,77,265,269,2016-11-26 04:41:34,225.0,2016,"(45.9316, -130.015)",45.9316,-130.015,2.63,"(45.9549, -130.0089)",CC_20161126043505_20161126044505,Cargo
36,257661000,STAR KVARVEN,General Cargo,108,86,83,2020-07-07 12:14:29,208.77,2020,"(45.97514, -130.0577)",45.97514,-130.0577,4.4,"(45.9549, -130.0089)",CC_20200707121429_20200707122429,Cargo
37,257661000,STAR KVARVEN,General Cargo,108,87,86,2020-07-07 12:17:39,208.77,2020,"(45.97575, -130.0441)",45.97575,-130.0441,3.58,"(45.9549, -130.0089)",CC_20200707121429_20200707122429,Cargo
38,257661000,STAR KVARVEN,General Cargo,109,87,85,2020-07-07 12:22:28,208.77,2020,"(45.97626, -130.0233)",45.97626,-130.0233,2.62,"(45.9549, -130.0089)",CC_20200707121429_20200707122429,Cargo
39,257661000,STAR KVARVEN,General Cargo,108,86,86,2020-07-07 12:26:12,208.77,2020,"(45.97657, -130.0131)",45.97657,-130.0131,2.43,"(45.9549, -130.0089)",CC_20200707122429_20200707123429,Cargo
40,257661000,STAR KVARVEN,General Cargo,109,86,85,2020-07-07 12:28:50,208.77,2020,"(45.9771, -129.9958)",45.9771,-129.9958,2.67,"(45.9549, -130.0089)",CC_20200707122429_20200707123429,Cargo
41,257661000,STAR KVARVEN,General Cargo,109,86,85,2020-07-07 12:32:39,208.77,2020,"(45.97766, -129.9792)",45.97766,-129.9792,3.42,"(45.9549, -130.0089)",CC_20200707122429_20200707123429,Cargo
42,257771000,STAR ARTEMIS,Bulk Carrier,98,345,344,2016-03-04 06:18:14,199.99,2016,"(45.94222, -129.9636)",45.94222,-129.9636,3.78,"(45.9549, -130.0089)",CC_20160304061814_20160304062814,Cargo
43,257771000,STAR ARTEMIS,Bulk Carrier,98,338,343,2016-03-04 06:26:34,199.99,2016,"(45.96413, -129.9708)",45.96413,-129.9708,3.13,"(45.9549, -130.0089)",CC_20160304061814_20160304062814,Cargo
44,303673000,MIKE O'LEARY,Tug,87,53,50,2019-10-15 03:04:44,32.19,2019,"(45.91603, -130.0284)",45.91603,-130.0284,4.58,"(45.9549, -130.0089)",CC_20191015030444_20191015031444,Fishing type
45,303673000,MIKE O'LEARY,Tug,89,52,53,2019-10-15 03:08:06,32.19,2019,"(45.92096, -130.0193)",45.92096,-130.0193,3.86,"(45.9549, -130.0089)",CC_20191015030444_20191015031444,Fishing type
46,303673000,MIKE O'LEARY,Tug,86,52,54,2019-10-15 03:13:46,32.19,2019,"(45.92944, -130.0036)",45.92944,-130.0036,2.86,"(45.9549, -130.0089)",CC_20191015030444_20191015031444,Fishing type
47,303673000,MIKE O'LEARY,Tug,87,50,52,2019-10-15 03:18:07,32.19,2019,"(45.93587, -129.9918)",45.93587,-129.9918,2.5,"(45.9549, -130.0089)",CC_20191015031444_20191015032444,Fishing type
48,303673000,MIKE O'LEARY,Tug,87,52,54,2019-10-15 03:21:07,32.19,2019,"(45.94034, -129.9837)",45.94034,-129.9837,2.54,"(45.9549, -130.0089)",CC_20191015031444_20191015032444,Fishing type
49,303673000,MIKE O'LEARY,Tug,87,51,47,2019-10-15 03:24:27,32.19,2019,"(45.94529, -129.9745)",45.94529,-129.9745,2.87,"(45.9549, -130.0089)",CC_20191015031444_20191015032444,Fishing type
50,308632000,THETIS,Bulk Carrier,120,81,81,2019-03-29 22:25:15,225.0,2019,"(45.98001, -130.0478)",45.98001,-130.0478,4.11,"(45.9549, -130.0089)",CC_20190329222515_20190329223515,Cargo
51,308632000,THETIS,Bulk Carrier,121,81,82,2019-03-29 22:27:15,225.0,2019,"(45.98101, -130.0383)",45.98101,-130.0383,3.69,"(45.9549, -130.0089)",CC_20190329222515_20190329223515,Cargo
52,308632000,THETIS,Bulk Carrier,120,82,82,2019-03-29 22:32:16,225.0,2019,"(45.98346, -130.0145)",45.98346,-130.0145,3.2,"(45.9549, -130.0089)",CC_20190329222515_20190329223515,Cargo
53,308632000,THETIS,Bulk Carrier,120,82,83,2019-03-29 22:34:15,225.0,2019,"(45.98439, -130.0051)",45.98439,-130.0051,3.29,"(45.9549, -130.0089)",CC_20190329222515_20190329223515,Cargo
54,311000239,AFRICAN STARLING,Bulk Carrier,122,178,181,2016-04-20 16:42:58,189.99,2016,"(45.98681, -129.9809)",45.98681,-129.9809,4.16,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
55,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:45:57,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,3.22,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
56,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:46:08,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,3.22,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
57,311000239,AFRICAN STARLING,Bulk Carrier,120,181,182,2016-04-20 16:48:06,189.99,2016,"(45.96958, -129.9808)",45.96958,-129.9808,2.72,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
58,311000239,AFRICAN STARLING,Bulk Carrier,120,182,183,2016-04-20 16:51:37,189.99,2016,"(45.95738, -129.9809)",45.95738,-129.9809,2.19,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
59,311000239,AFRICAN STARLING,Bulk Carrier,120,182,183,2016-04-20 16:51:47,189.99,2016,"(45.95738, -129.9809)",45.95738,-129.9809,2.19,"(45.9549, -130.0089)",CC_20160420164258_20160420165258,Cargo
60,311000239,AFRICAN STARLING,Bulk Carrier,120,181,183,2016-04-20 16:55:08,189.99,2016,"(45.94626, -129.9812)",45.94626,-129.9812,2.35,"(45.9549, -130.0089)",CC_20160420165258_20160420170258,Cargo
61,311000239,AFRICAN STARLING,Bulk Carrier,120,183,183,2016-04-20 16:57:08,189.99,2016,"(45.93967, -129.9813)",45.93967,-129.9813,2.73,"(45.9549, -130.0089)",CC_20160420165258_20160420170258,Cargo
62,311000239,AFRICAN STARLING,Bulk Carrier,118,177,183,2016-04-20 16:59:09,189.99,2016,"(45.93309, -129.9814)",45.93309,-129.9814,3.23,"(45.9549, -130.0089)",CC_20160420165258_20160420170258,Cargo
63,311000537,,,119,250,250,2017-07-06 05:01:13,,2017,"(45.943, -129.9774)",45.943,-129.9774,2.78,"(45.9549, -130.0089)",CC_20170706050113_20170706051113,
64,311000537,,,119,250,249,2017-07-06 05:10:33,,2017,"(45.93283, -130.0192)",45.93283,-130.0192,2.58,"(45.9549, -130.0089)",CC_20170706050113_20170706051113,
65,311000680,DUNEDIN STAR,Reefer/Containership,133,7,0,2020-12-04 05:53:09,151.0,2020,"(45.91045, -130.0005)",45.91045,-130.0005,4.98,"(45.9549, -130.0089)",CC_20201204055309_20201204060309,
66,311000680,DUNEDIN STAR,Reefer/Containership,130,6,2,2020-12-04 05:57:20,151.0,2020,"(45.92567, -130.0007)",45.92567,-130.0007,3.31,"(45.9549, -130.0089)",CC_20201204055309_20201204060309,
67,311000680,DUNEDIN STAR,Reefer/Containership,132,6,4,2020-12-04 06:02:46,151.0,2020,"(45.9456, -130.0006)",45.9456,-130.0006,1.22,"(45.9549, -130.0089)",CC_20201204055309_20201204060309,
68,311000680,DUNEDIN STAR,Reefer/Containership,131,3,4,2020-12-04 06:05:46,151.0,2020,"(45.9565, -129.9999)",45.9565,-129.9999,0.72,"(45.9549, -130.0089)",CC_20201204060309_20201204061309,
69,311000680,DUNEDIN STAR,Reefer/Containership,136,10,5,2020-12-04 06:08:39,151.0,2020,"(45.96691, -129.9991)",45.96691,-129.9991,1.54,"(45.9549, -130.0089)",CC_20201204060309_20201204061309,
70,311035400,CS CALVINA,Bulk Carrier,100,35,51,2015-11-02 11:24:14,189.99,2015,"(45.9285, -130.0338)",45.9285,-130.0338,3.51,"(45.9549, -130.0089)",CC_20151102112414_20151102113414,Cargo
71,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,96,319,306,2016-04-13 15:32:07,272.69,2016,"(45.93269, -129.9651)",45.93269,-129.9651,4.2,"(45.9549, -130.0089)",CC_20160413153207_20160413154207,Tanker
72,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,99,332,312,2016-04-13 15:37:49,272.69,2016,"(45.94291, -129.9772)",45.94291,-129.9772,2.8,"(45.9549, -130.0089)",CC_20160413153207_20160413154207,Tanker
73,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,89,296,309,2016-04-13 15:41:49,272.69,2016,"(45.95043, -129.9868)",45.95043,-129.9868,1.78,"(45.9549, -130.0089)",CC_20160413153207_20160413154207,Tanker
74,257771000,STAR ARTEMIS,Bulk Carrier,98,338,343,2016-03-04 06:26:34,199.99,2016,"(45.96413, -129.9708)",45.96413,-129.9708,3.13,"(45.9549, -130.0089)",CC_20160413154207_20160413155207,Cargo
75,338415000,RACHEL CARSON,Offshore Supply Ship,51,358,346,2016-07-21 21:28:26,41.46,2016,"(45.9155, -130.0128)",45.9155,-130.0128,4.39,"(45.9549, -130.0089)",CC_20160721212826_20160721213826,Offshore
76,338415000,RACHEL CARSON,Offshore Supply Ship,50,346,346,2016-07-21 21:31:27,41.46,2016,"(45.91967, -130.0135)",45.91967,-130.0135,3.93,"(45.9549, -130.0089)",CC_20160721212826_20160721213826,Offshore
77,338415000,RACHEL CARSON,Offshore Supply Ship,54,356,358,2016-07-21 21:34:28,41.46,2016,"(45.92383, -130.0142)",45.92383,-130.0142,3.48,"(45.9549, -130.0089)",CC_20160721212826_20160721213826,Offshore
78,338415000,RACHEL CARSON,Offshore Supply Ship,51,5,356,2016-07-21 21:42:07,41.46,2016,"(45.93483, -130.0135)",45.93483,-130.0135,2.26,"(45.9549, -130.0089)",CC_20160721213826_20160721214826,Offshore
79,338415000,RACHEL CARSON,Offshore Supply Ship,51,8,0,2016-07-21 21:57:57,41.46,2016,"(45.95733, -130.0115)",45.95733,-130.0115,0.34,"(45.9549, -130.0089)",CC_20160721214826_20160721215826,Offshore
80,338415000,RACHEL CARSON,Offshore Supply Ship,50,359,353,2016-07-21 22:03:07,41.46,2016,"(45.96433, -130.0115)",45.96433,-130.0115,1.07,"(45.9549, -130.0089)",CC_20160721215826_20160721220826,Offshore
81,338415000,RACHEL CARSON,Offshore Supply Ship,49,348,348,2016-07-21 22:07:06,41.46,2016,"(45.96983, -130.0118)",45.96983,-130.0118,1.67,"(45.9549, -130.0089)",CC_20160721215826_20160721220826,Offshore
82,338415000,RACHEL CARSON,Offshore Supply Ship,25,161,153,2016-07-21 23:56:17,41.46,2016,"(45.996, -130.0338)",45.996,-130.0338,4.96,"(45.9549, -130.0089)",CC_20160721235617_20160722000617,Offshore
83,338415000,RACHEL CARSON,Offshore Supply Ship,5,93,11,2016-07-22 00:01:47,41.46,2016,"(45.99517, -130.031)",45.99517,-130.031,4.79,"(45.9549, -130.0089)",CC_20160721235617_20160722000617,Offshore
84,338415000,RACHEL CARSON,Offshore Supply Ship,6,142,16,2016-07-22 00:07:07,41.46,2016,"(45.99467, -130.0297)",45.99467,-130.0297,4.71,"(45.9549, -130.0089)",CC_20160722000617_20160722001617,Offshore
85,338415000,RACHEL CARSON,Offshore Supply Ship,10,130,26,2016-07-22 00:11:36,41.46,2016,"(45.994, -130.0287)",45.994,-130.0287,4.61,"(45.9549, -130.0089)",CC_20160722000617_20160722001617,Offshore
86,308632000,THETIS,Bulk Carrier,120,81,81,2019-03-29 22:25:15,225.0,2019,"(45.98001, -130.0478)",45.98001,-130.0478,4.11,"(45.9549, -130.0089)",CC_20160722001617_20160722002617,Cargo
87,338415000,RACHEL CARSON,Offshore Supply Ship,7,354,328,2016-07-22 00:30:46,41.46,2016,"(45.993, -130.0243)",45.993,-130.0243,4.4,"(45.9549, -130.0089)",CC_20160722002617_20160722003617,Offshore
88,308632000,THETIS,Bulk Carrier,120,82,82,2019-03-29 22:32:16,225.0,2019,"(45.98346, -130.0145)",45.98346,-130.0145,3.2,"(45.9549, -130.0089)",CC_20160722003617_20160722004617,Cargo
89,338415000,RACHEL CARSON,Offshore Supply Ship,26,110,100,2016-07-22 00:53:27,41.46,2016,"(45.99434, -130.026)",45.99434,-130.026,4.58,"(45.9549, -130.0089)",CC_20160722004617_20160722005617,Offshore
90,338415000,RACHEL CARSON,Offshore Supply Ship,67,191,188,2016-07-22 01:04:56,41.46,2016,"(45.97717, -130.025)",45.97717,-130.025,2.77,"(45.9549, -130.0089)",CC_20160722005617_20160722010617,Offshore
91,338415000,RACHEL CARSON,Offshore Supply Ship,44,189,192,2016-07-22 01:12:16,41.46,2016,"(45.966, -130.0267)",45.966,-130.0267,1.85,"(45.9549, -130.0089)",CC_20160722010617_20160722011617,Offshore
92,338415000,RACHEL CARSON,Offshore Supply Ship,9,123,270,2016-07-22 01:14:07,41.46,2016,"(45.9645, -130.0272)",45.9645,-130.0272,1.78,"(45.9549, -130.0089)",CC_20160722010617_20160722011617,Offshore
93,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:46:08,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,3.22,"(45.9549, -130.0089)",CC_20160722011617_20160722012617,Cargo
94,338415000,RACHEL CARSON,Offshore Supply Ship,46,182,185,2016-07-22 01:33:45,41.46,2016,"(45.954, -130.0225)",45.954,-130.0225,1.06,"(45.9549, -130.0089)",CC_20160722012617_20160722013617,Offshore
95,338415000,RACHEL CARSON,Offshore Supply Ship,37,117,105,2016-07-22 07:35:01,41.46,2016,"(45.99533, -130.0285)",45.99533,-130.0285,4.74,"(45.9549, -130.0089)",CC_20160722073501_20160722074501,Offshore
96,311000239,AFRICAN STARLING,Bulk Carrier,120,182,183,2016-04-20 16:51:47,189.99,2016,"(45.95738, -129.9809)",45.95738,-129.9809,2.19,"(45.9549, -130.0089)",CC_20160722074501_20160722075501,Cargo
97,338415000,RACHEL CARSON,Offshore Supply Ship,43,355,345,2019-08-21 18:50:02,41.46,2019,"(45.91489, -129.9919)",45.91489,-129.9919,4.64,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
98,338415000,RACHEL CARSON,Offshore Supply Ship,38,23,1,2019-08-21 18:52:53,41.46,2019,"(45.91788, -129.9918)",45.91788,-129.9918,4.32,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
99,338415000,RACHEL CARSON,Offshore Supply Ship,48,15,357,2019-08-21 18:55:11,41.46,2019,"(45.92049, -129.9914)",45.92049,-129.9914,4.06,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
100,338415000,RACHEL CARSON,Offshore Supply Ship,47,34,354,2019-08-21 18:57:03,41.46,2019,"(45.92257, -129.9913)",45.92257,-129.9913,3.84,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
101,338415000,RACHEL CARSON,Offshore Supply Ship,40,347,349,2019-08-21 18:59:02,41.46,2019,"(45.92468, -129.9911)",45.92468,-129.9911,3.63,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
102,338415000,RACHEL CARSON,Offshore Supply Ship,38,356,352,2019-08-21 18:59:41,41.46,2019,"(45.92537, -129.9912)",45.92537,-129.9912,3.56,"(45.9549, -130.0089)",CC_20190821185002_20190821190002,Offshore
103,338415000,RACHEL CARSON,Offshore Supply Ship,45,18,350,2019-08-21 19:06:42,41.46,2019,"(45.93323, -129.9906)",45.93323,-129.9906,2.8,"(45.9549, -130.0089)",CC_20190821190002_20190821191002,Offshore
104,338415000,RACHEL CARSON,Offshore Supply Ship,39,11,351,2019-08-21 19:07:50,41.46,2019,"(45.9344, -129.9906)",45.9344,-129.9906,2.68,"(45.9549, -130.0089)",CC_20190821190002_20190821191002,Offshore
105,338415000,RACHEL CARSON,Offshore Supply Ship,35,349,357,2019-08-21 19:08:53,41.46,2019,"(45.9355, -129.9906)",45.9355,-129.9906,2.58,"(45.9549, -130.0089)",CC_20190821190002_20190821191002,Offshore
106,338415000,RACHEL CARSON,Offshore Supply Ship,39,6,355,2019-08-21 19:09:11,41.46,2019,"(45.93582, -129.9906)",45.93582,-129.9906,2.55,"(45.9549, -130.0089)",CC_20190821190002_20190821191002,Offshore
107,338415000,RACHEL CARSON,Offshore Supply Ship,40,14,0,2019-08-21 19:11:17,41.46,2019,"(45.93815, -129.9903)",45.93815,-129.9903,2.36,"(45.9549, -130.0089)",CC_20190821191002_20190821192002,Offshore
108,338415000,RACHEL CARSON,Offshore Supply Ship,44,165,173,2019-08-21 19:16:06,41.46,2019,"(45.94193, -129.988)",45.94193,-129.988,2.17,"(45.9549, -130.0089)",CC_20190821191002_20190821192002,Offshore
109,338415000,RACHEL CARSON,Offshore Supply Ship,68,172,184,2019-08-21 19:20:21,41.46,2019,"(45.93616, -129.9861)",45.93616,-129.9861,2.73,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
110,338415000,RACHEL CARSON,Offshore Supply Ship,60,184,189,2019-08-21 19:22:39,41.46,2019,"(45.93211, -129.9861)",45.93211,-129.9861,3.09,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
111,338415000,RACHEL CARSON,Offshore Supply Ship,61,167,181,2019-08-21 19:26:22,41.46,2019,"(45.92574, -129.9862)",45.92574,-129.9862,3.69,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
112,338415000,RACHEL CARSON,Offshore Supply Ship,67,162,181,2019-08-21 19:26:57,41.46,2019,"(45.92474, -129.9861)",45.92474,-129.9861,3.79,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
113,338415000,RACHEL CARSON,Offshore Supply Ship,63,204,206,2019-08-21 19:29:31,41.46,2019,"(45.92045, -129.9867)",45.92045,-129.9867,4.2,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
114,338415000,RACHEL CARSON,Offshore Supply Ship,58,204,206,2019-08-21 19:29:48,41.46,2019,"(45.92002, -129.987)",45.92002,-129.987,4.23,"(45.9549, -130.0089)",CC_20190821192002_20190821193002,Offshore
115,338415000,RACHEL CARSON,Offshore Supply Ship,26,146,170,2019-08-21 19:33:27,41.46,2019,"(45.91651, -129.9895)",45.91651,-129.9895,4.52,"(45.9549, -130.0089)",CC_20190821193002_20190821194002,Offshore
116,338415000,RACHEL CARSON,Offshore Supply Ship,18,48,143,2019-08-21 19:36:15,41.46,2019,"(45.91628, -129.9891)",45.91628,-129.9891,4.56,"(45.9549, -130.0089)",CC_20190821193002_20190821194002,Offshore
117,338415000,RACHEL CARSON,Offshore Supply Ship,6,157,135,2019-08-21 19:36:47,41.46,2019,"(45.91628, -129.989)",45.91628,-129.989,4.56,"(45.9549, -130.0089)",CC_20190821193002_20190821194002,Offshore
118,338415000,RACHEL CARSON,Offshore Supply Ship,2,173,134,2019-08-21 19:38:01,41.46,2019,"(45.91633, -129.9891)",45.91633,-129.9891,4.55,"(45.9549, -130.0089)",CC_20190821193002_20190821194002,Offshore
119,338415000,RACHEL CARSON,Offshore Supply Ship,9,225,108,2019-08-21 19:40:26,41.46,2019,"(45.91621, -129.9893)",45.91621,-129.9893,4.56,"(45.9549, -130.0089)",CC_20190821194002_20190821195002,Offshore
120,338415000,RACHEL CARSON,Offshore Supply Ship,12,46,151,2019-08-21 19:46:32,41.46,2019,"(45.91609, -129.9893)",45.91609,-129.9893,4.57,"(45.9549, -130.0089)",CC_20190821194002_20190821195002,Offshore
